Year,Age,Immunization,Immunization_Count
2008,4,Hepatitis A,5315
2008,4,Meningococcal,271
2008,5,Hepatitis B,967
2008,5,Diphtheria,4521
2008,5,Tetanus,4521
2008,5,Pertussis,4512
2008,5,Polio,4150
2008,5,Human Papilloma Virus,0
2008,5,Varicella,4955
2008,5,Measles,4545
2008,5,Mumps,4543
2008,5,Rubella,4545
2008,5,Influenza,1609
2008,5,Rotavirus,0
2008,5,Hib,213
2008,5,Pneumococcal,271
2008,5,Hepatitis A,3545
2008,5,Meningococcal,220
2008,6,Hepatitis B,676
2008,6,Diphtheria,1549
2008,6,Tetanus,1549
2008,6,Pertussis,1510
2008,6,Polio,1176
2008,6,Human Papilloma Virus,0
2008,6,Varicella,3752
2008,6,Measles,1233
2008,6,Mumps,1233
2008,6,Rubella,1234
2008,6,Influenza,2162
2008,6,Rotavirus,0
2008,6,Hib,68
2008,6,Pneumococcal,76
2008,6,Hepatitis A,2259
2008,6,Meningococcal,215
2008,7,Hepatitis B,637
2008,7,Diphtheria,970
2008,7,Tetanus,970
2008,7,Pertussis,492
2008,7,Polio,706
2008,7,Human Papilloma Virus,0
2008,7,Varicella,3198
2008,7,Measles,688
2008,7,Mumps,688
2008,7,Rubella,689
2008,7,Influenza,1381
2008,7,Rotavirus,0
2008,7,Hib,34
2008,7,Pneumococcal,40
2008,7,Hepatitis A,1633
2008,7,Meningococcal,187
2008,8,Hepatitis B,935
2008,8,Diphtheria,918
2008,8,Tetanus,918
2008,8,Pertussis,383
2008,8,Polio,740
2008,8,Human Papilloma Virus,0
2008,8,Varicella,3447
2008,8,Measles,702
2008,8,Mumps,702
2008,8,Rubella,702
2008,8,Influenza,1423
2008,8,Rotavirus,0
2008,8,Hib,19
2008,8,Pneumococcal,36
2008,8,Hepatitis A,1821
2008,8,Meningococcal,231
2008,9,Hepatitis B,1431
2008,9,Diphtheria,916
2008,9,Tetanus,916
2008,9,Pertussis,378
2008,9,Polio,597
2008,9,Human Papilloma Virus,996
2008,9,Varicella,3072
2008,9,Measles,621
2008,9,Mumps,621
2008,9,Rubella,622
2008,9,Influenza,1178
2008,9,Rotavirus,0
2008,9,Hib,26
2008,9,Pneumococcal,26
2008,9,Hepatitis A,2144
2008,9,Meningococcal,271
2008,10,Hepatitis B,1824
2008,10,Diphtheria,1566
2008,10,Tetanus,1566
2008,10,Pertussis,934
2008,10,Polio,733
2008,10,Human Papilloma Virus,1393
2008,10,Varicella,3271
2008,10,Measles,765
2008,10,Mumps,765
2008,10,Rubella,765
2008,10,Influenza,1154
2008,10,Rotavirus,0
2008,10,Hib,30
2008,10,Pneumococcal,22
2008,10,Hepatitis A,2350
2008,10,Meningococcal,499
2008,11,Hepatitis B,2155
2008,11,Diphtheria,5742
2008,11,Tetanus,5742
2008,11,Pertussis,4843
2008,11,Polio,721
2008,11,Human Papilloma Virus,4213
2008,11,Varicella,3597
2008,11,Measles,821
2008,11,Mumps,819
2008,11,Rubella,821
2008,11,Influenza,1249
2008,11,Rotavirus,0
2008,11,Hib,25
2008,11,Pneumococcal,44
2008,11,Hepatitis A,2829
2008,11,Meningococcal,5353
2008,12,Hepatitis B,2164
2008,12,Diphtheria,4699
2008,12,Tetanus,4699
2008,12,Pertussis,3773
2008,12,Polio,716
2008,12,Human Papilloma Virus,4080
2008,12,Varicella,3356
2008,12,Measles,902
2008,12,Mumps,898
2008,12,Rubella,898
2008,12,Influenza,1240
2008,12,Rotavirus,0
2008,12,Hib,30
2008,12,Pneumococcal,36
2008,12,Hepatitis A,2891
2008,12,Meningococcal,4238
2008,13,Hepatitis B,2539
2008,13,Diphtheria,4609
2008,13,Tetanus,4609
2008,13,Pertussis,3694
2008,13,Polio,871
2008,13,Human Papilloma Virus,3941
2008,13,Varicella,3461
2008,13,Measles,987
2008,13,Mumps,986
2008,13,Rubella,986
2008,13,Influenza,1154
2008,13,Rotavirus,0
2008,13,Hib,21
2008,13,Pneumococcal,31
2008,13,Hepatitis A,3526
2008,13,Meningococcal,5070
2008,14,Hepatitis B,2532
2008,14,Diphtheria,5134
2008,14,Tetanus,5134
2008,14,Pertussis,4107
2008,14,Polio,923
2008,14,Human Papilloma Virus,4378
